[13056.817789] 569:22f
[13056.817794] 376:17f
[13056.817799] 580:22f
[13056.817803] 412:17f
[13056.817808] 550:22f
[13056.817813] 465:17f
[13056.817817] 501:22f
[13056.817822] 462:17f
[13056.817827] 487:22f
[13056.817831] 478:17f
[13056.817836] 483:22f
[13056.817841] 480:17f
[13056.817845] 468:22f
[13056.817850] 500:17f
[13056.817855] 508:22f
[13056.817859] 458:17f
[13056.817864] 509:22f
[13056.817869] 462:17f
[13056.817873] 521:22f
[13056.817878] 439:17f
[13056.817883] 574:22f
[13056.817887] 400:17f
[13056.817892] 555:22f
[13056.817897] 400:17f
[13056.817901] 581:22f
[13056.817906] 386:17f
[13056.817911] 606:22f
[13056.817915] 363:17f
[13056.817920] 598:22f
[13056.817925] 371:17f
[13056.817929] 632:22f
[13056.817934] 361:17f
[13056.817939] 600:22f
[13056.817943] 360:17f
[13056.817948] 607:22f
[13056.817952] 361:17f
[13056.817957] 609:22f
[13056.817962] 385:17f
[13056.817966] 596:22f
[13056.817971] 369:17f
[13056.817976] 628:22f
[13056.817980] 344:17f
[13056.817985] 638:22f
[13056.817990] 322:17f
[13056.817994] 670:22f
[13056.817999] 309:17f
[13056.818004] 658:22f
[13056.818008] 298:17f
[13056.818013] 751:22f
[13056.818018] 247:17f
[13056.818022] 720:22f
[13056.818027] 253:17f
[13056.818032] 718:22f
[13056.818036] 263:17f
[13056.818041] 711:22f
[13056.818046] 255:17f
[13056.818050] 745:22f
[13056.818055] 366:17f
[13056.818060] 626:22f
[13056.818064] 337:17f
[13056.818069] 647:22f
[13056.818074] 454:17f
[13056.818078] 530:22f
[13056.818083] 442:17f
[13056.818088] 521:22f
[13056.818092] 453:17f
[13056.818097] 535:22f
[13056.818102] 457:17f
[13056.818106] 535:22f
[13056.818111] 435:17f
[13056.818116] 537:22f
[13056.818120] 448:17f
[13056.818125] 516:22f
[13056.818130] 520:17f
[13056.818134] 445:22f
[13056.818139] 528:17f
[13056.818143] 447:22f
[13056.818148] 513:17f
[13056.818153] 468:22f
[13056.818158] 499:17f
[13056.818162] 474:22f
[13056.818167] 520:17f
[13056.818171] 483:22f
[13056.818176] 478:17f
[13056.818181] 539:22f
[13056.818186] 465:17f
[13056.818190] 502:22f
[13056.818195] 469:17f
[13056.818199] 551:22f
[13056.818204] 414:17f
[13056.818209] 558:22f
[13056.818213] 408:17f
[13056.818218] 581:22f
[13056.818223] 393:17f
[13056.818227] 595:22f
[13056.818232] 386:17f
[13056.818237] 588:22f
[13056.818241] 378:17f
[13056.818246] 599:22f
[13056.818251] 398:17f
[13056.818255] 572:22f
[13056.818260] 401:17f
[13056.818265] 566:22f
[13056.818269] 398:17f
[13056.818274] 595:22f
[13056.818279] 377:17f
[13056.818283] 585:22f
[13056.818288] 385:17f
[13056.818292] 590:22f
[13056.818297] 570:17f
[13056.818302] 460:22f
[13056.818306] 508:17f
[13056.818311] 457:22f
[13056.818316] 509:17f
[13056.818320] 458:22f
[13056.818325] 513:17f
[13056.818330] 454:22f
[13056.818335] 604:17f
[13056.818339] 392:22f
[13056.818344] 576:17f
[13056.818348] 385:22f
[13056.818353] 599:17f
[13056.818358] 380:22f
[13056.818362] 591:17f
[13056.818367] 368:22f
[13056.818372] 616:17f
[13056.818376] 358:22f
[13056.818381] 609:17f
[13056.818386] 349:22f
[13056.818390] 625:17f
[13056.818395] 343:22f
[13056.818400] 708:17f
[13056.818404] 265:22f
[13056.818409] 700:17f
[13056.818414] 265:22f
[13056.818418] 700:17f
[13056.818423] 265:22f
[13056.818428] 687:17f
[13056.818432] 285:22f
[13056.818437] 680:17f
[13056.818442] 294:22f
[13056.818446] 661:17f
[13056.818451] 297:22f
[13056.818456] 773:17f
[13056.818460] 212:22f
[13056.818465] 750:17f
[13056.818470] 209:22f
[13056.818474] 756:17f
[13056.818479] 203:22f
[13056.818484] 768:17f
[13056.818488] 235:22f
[13056.818493] 747:17f
