[20253.726379] 1189:22f
[20253.726384] 2117:22f
[20253.726388] 970:22f
[20253.726393] 311:18f
[20253.726398] 3913:22f
[20253.726402] 968:22f
[20253.726407] 1025:22f
[20253.726412] 1862:22f
[20253.726416] 1531:22f
[20253.726421] 1604:22f
[20253.726426] 1944:22f
[20253.726430] 1129:22f
[20253.726435] 1473:22f
[20253.726440] 1386:22f
[20253.726445] 1602:22f
[20253.726449] 1228:22f
[20253.726454] 326:18f
[20253.726458] 3905:22f
[20253.726463] 965:22f
[20253.726468] 1070:22f
[20253.726473] 1391:22f
[20253.726477] 1709:22f
[20253.726482] 1473:22f
[20253.726487] 1613:22f
[20253.726491] 1127:22f
[20253.726496] 1043:22f
[20253.726501] 2059:22f
[20253.726505] 1444:22f
[20253.726510] 1529:22f
[20253.726515] 668:18f
[20253.726519] 3890:22f
[20253.726524] 974:22f
[20253.726529] 1122:22f
[20253.726533] 2198:22f
[20253.726538] 1601:22f
[20253.726543] 1530:22f
[20253.726548] 1747:22f
[20253.726552] 1899:22f
[20253.726557] 1842:22f
[20253.726561] 2126:22f
[20253.726566] 1064:18f
[20253.726571] 3924:22f
[20253.726576] 976:22f
[20253.726580] 1023:22f
[20253.726585] 1100:22f
[20253.726590] 970:22f
[20253.726594] 1068:22f
[20253.726599] 990:22f
[20253.726604] 1028:22f
[20253.726608] 1048:22f
[20253.726613] 996:22f
[20253.726618] 1078:22f
[20253.726623] 965:22f
[20253.726627] 1136:22f
[20253.726632] 966:22f
[20253.726636] 1171:22f
[20253.726641] 1020:22f
[20253.726646] 534:18f
[20253.726651] 3900:22f
[20253.726655] 965:22f
[20253.726660] 1017:22f
[20253.726665] 971:22f
[20253.726669] 1669:22f
[20253.726674] 2198:22f
[20253.726679] 1342:22f
[20253.726683] 1855:22f
[20253.726688] 1731:22f
[20253.726693] 1584:22f
[20253.726698] 1507:22f
[20253.726702] 1256:18f
[20253.726707] 3904:22f
[20253.726711] 976:22f
[20253.726716] 1382:22f
[20253.726721] 1595:22f
[20253.726726] 1328:22f
[20253.726730] 970:22f
[20253.726735] 1510:22f
[20253.726740] 1836:22f
[20253.726745] 1523:22f
[20253.726749] 1949:22f
[20253.726754] 1859:22f
[20253.726758] 1163:18f
[20253.726763] 3910:22f
[20253.726768] 980:22f
[20253.726773] 1540:22f
[20253.726777] 1635:22f
[20253.726782] 1166:22f
[20253.726787] 1233:22f
[20253.726791] 1832:22f
[20253.726796] 1201:22f
[20253.726801] 2029:22f
[20253.726805] 1281:22f
[20253.726810] 1330:22f
[20253.726815] 1481:22f
[20253.726820] 377:18f
[20253.726824] 3894:22f
[20253.726829] 965:22f
[20253.726833] 1992:22f
[20253.726838] 1615:22f
[20253.726843] 1330:22f
[20253.726848] 1249:22f
[20253.726852] 1661:22f
[20253.726857] 1269:22f
[20253.726862] 1916:22f
[20253.726866] 1932:22f
[20253.726871] 2170:18f
[20253.726876] 3900:22f
[20253.726880] 975:22f
[20253.726885] 1150:22f
[20253.726890] 1259:22f
[20253.726895] 969:22f
[20253.726899] 1077:22f
[20253.726904] 1203:22f
[20253.726909] 1179:22f
[20253.726913] 955:22f
[20253.726918] 1004:22f
[20253.726923] 1209:22f
[20253.726927] 1166:22f
[20253.726932] 1112:22f
[20253.726937] 1114:22f
[20253.726941] 1030:22f
[20253.726946] 692:18f
[20253.726951] 3904:22f
[20253.726955] 975:22f
[20253.726960] 2121:22f
[20253.726965] 2190:22f
[20253.726970] 2100:22f
[20253.726974] 992:22f
[20253.726979] 1944:22f
[20253.726984] 1109:22f
[20253.726988] 1857:22f
[20253.726993] 966:22f
[20253.726998] 1160:22f
[20253.727002] 676:18f
[20253.727007] 3904:22f
[20253.727012] 967:22f
[20253.727016] 1830:22f
[20253.727021] 1395:22f
[20253.727026] 2044:22f
[20253.727030] 1102:22f
[20253.727035] 1300:22f
[20253.727040] 1848:22f
[20253.727045] 971:22f
[20253.727049] 1190:22f
[20253.727054] 2153:22f
[20253.727059] 1292:18f
[20253.727063] 3901:22f
[20253.727068] 966:22f
[20253.727073] 996:22f
[20253.727077] 1895:22f
[20253.727082] 1258:22f
[20253.727087] 1949:22f
[20253.727091] 1907:22f
[20253.727096] 1459:22f
[20253.727101] 1308:22f
[20253.727105] 2160:22f
[20253.727110] 1890:22f
[20253.727115] 305:18f
[20253.727120] 3916:22f
[20253.727124] 953:22f
[20253.727129] 981:22f
[20253.727133] 1304:22f
[20253.727138] 2075:22f
[20253.727143] 2138:22f
[20253.727148] 1797:22f
[20253.727152] 1975:22f
[20253.727157] 1616:22f
[20253.727162] 1648:22f
[20253.727166] 1402:22f
[20253.727171] 190:18f
[20253.727176] 3899:22f
[20253.727180] 965:22f
[20253.727185] 1791:22f
[20253.727190] 1716:22f
[20253.727194] 976:22f
[20253.727199] 1884:22f
[20253.727204] 1793:22f
[20253.727208] 1806:22f
[20253.727213] 1350:22f
[20253.727218] 1912:22f
[20253.727223] 1224:22f
[20253.727227] 677:18f
[20253.727232] 3901:22f
[20253.727236] 969:22f
[20253.727241] 1057:22f
[20253.727246] 1389:22f
[20253.727251] 1973:22f
[20253.727255] 1710:22f
[20253.727260] 1581:22f
[20253.727265] 977:22f
[20253.727269] 1168:22f
[20253.727274] 1804:22f
[20253.727279] 1589:22f
[20253.727283] 1670:22f
[20253.727288] 205:18f
[20253.727293] 3907:22f
[20253.727298] 963:22f
[20253.727302] 957:22f
[20253.727307] 1240:22f
[20253.727311] 1734:22f
[20253.727316] 1969:22f
[20253.727321] 989:22f
[20253.727326] 1790:22f
[20253.727330] 973:22f
[20253.727335] 2036:22f
[20253.727340] 1627:22f
[20253.727345] 1811:18f
[20253.727349] 3893:22f
[20253.727354] 966:22f
[20253.727358] 2064:22f
[20253.727363] 1961:22f
[20253.727368] 1667:22f
[20253.727373] 2053:22f
[20253.727377] 2123:22f
[20253.727382] 1002:22f
[20253.727387] 1199:22f
[20253.727391] 1249:22f
[20253.727396] 1349:22f
[20253.727401] 468:18f
[20253.727405] 3901:22f
[20253.727410] 961:22f
[20253.727415] 2075:22f
[20253.727420] 976:22f
[20253.727424] 2148:22f
[20253.727429] 1668:22f
