[21103.501904] 11:22f
[21103.501909] 934:17f
[21103.501913] 230:22f
[21103.501918] 771:17f
[21103.501923] 260:22f
[21103.501927] 757:17f
[21103.501932] 245:22f
[21103.501937] 931:17f
[21103.501942] 154:22f
[21103.501946] 946:17f
[21103.501951] 17:22f
[21103.501956] 1015:27f
[21103.501960] 1050:27f
[21103.501965] 930:17f
[21103.501970] 36:22f
[21103.501975] 974:22f
[21103.501979] 175:17f
[21103.501984] 918:22f
[21103.501988] 58:17f
[21103.501993] 1066:17f
[21103.501998] 21:22f
[21103.502003] 945:17f
[21103.502007] 618:22f
[21103.502012] 451:17f
[21103.502017] 511:22f
[21103.502021] 666:17f
[21103.502026] 1005:27f
[21103.502031] 1024:27f
[21103.502036] 1026:17f
[21103.502040] 156:22f
[21103.502045] 816:17f
[21103.502050] 287:22f
[21103.502054] 904:17f
[21103.502059] 998:22f
[21103.502064] 250:17f
[21103.502069] 1068:17f
[21103.502073] 151:22f
[21103.502078] 986:22f
[21103.502083] 13:17f
[21103.502087] 1028:17f
[21103.502092] 457:22f
[21103.502097] 506:17f
[21103.502102] 841:22f
[21103.502106] 194:17f
[21103.502111] 969:27f
[21103.502116] 1202:17f
[21103.502120] 710:22f
[21103.502125] 255:17f
[21103.502130] 1057:27f
[21103.502135] 943:17f
[21103.502139] 813:22f
[21103.502144] 268:17f
[21103.502149] 990:17f
[21103.502153] 762:22f
[21103.502158] 366:17f
[21103.502163] 1005:17f
[21103.502168] 45:22f
[21103.502172] 1017:17f
[21103.502177] 772:22f
[21103.502182] 265:17f
[21103.502187] 958:27f
[21103.502191] 971:27f
[21103.502196] 975:17f
[21103.502201] 519:22f
[21103.502205] 486:17f
[21103.502210] 709:22f
[21103.502215] 477:17f
[21103.502219] 996:27f
[21103.502224] 967:27f
[21103.502229] 946:22f
[21103.502233] 23:17f
[21103.502238] 970:27f
[21103.502243] 972:27f
[21103.502248] 1098:17f
[21103.502252] 39:22f
[21103.502257] 927:17f
[21103.502262] 237:18f
[21103.502267] 1360:22f
[21103.502271] 455:27f
[21103.502276] 174:17f
[21103.502281] 792:27f
[21103.502285] 945:27f
[21103.502290] 1020:27f
[21103.502295] 946:27f
[21103.502300] 1014:27f
[21103.502304] 36:17f
[21103.502309] 937:27f
[21103.502314] 969:27f
[21103.502318] 959:27f
[21103.502323] 976:27f
[21103.502328] 959:27f
[21103.502332] 1016:22f
[21103.502337] 363:17f
[21103.502342] 981:27f
[21103.502347] 980:17f
[21103.502351] 3:27f
[21103.502356] 1112:27f
[21103.502361] 1017:27f
[21103.502365] 946:27f
[21103.502370] 964:27f
[21103.502375] 944:27f
[21103.502380] 973:27f
[21103.502384] 966:27f
[21103.502389] 1:22f
[21103.502394] 975:27f
[21103.502399] 946:27f
[21103.502403] 961:27f
[21103.502408] 972:27f
[21103.502412] 990:27f
[21103.502417] 954:27f
[21103.502422] 957:17f
[21103.502427] 66:22f
[21103.502431] 1031:27f
[21103.502436] 969:27f
[21103.502441] 1133:27f
[21103.502445] 931:17f
[21103.502450] 509:22f
[21103.502455] 645:17f
[21103.502459] 869:22f
[21103.502464] 684:17f
[21103.502469] 373:22f
[21103.502474] 974:22f
[21103.502478] 317:17f
[21103.502483] 946:27f
[21103.502488] 952:27f
[21103.502493] 981:27f
[21103.502497] 948:22f
[21103.502502] 10:17f
[21103.502507] 986:27f
[21103.502511] 965:27f
[21103.502516] 956:27f
[21103.502521] 963:27f
[21103.502526] 957:27f
[21103.502530] 923:17f
[21103.502535] 211:22f
[21103.502540] 1024:27f
[21103.502544] 950:27f
[21103.502549] 986:27f
[21103.502554] 954:27f
[21103.502558] 987:27f
[21103.502563] 1092:22f
[21103.502568] 234:17f
[21103.502573] 947:27f
[21103.502577] 977:27f
[21103.502582] 952:27f
[21103.502587] 986:27f
[21103.502591] 955:27f
[21103.502596] 1002:27f
[21103.502601] 1001:27f
[21103.502606] 964:17f
[21103.502610] 352:22f
[21103.502615] 938:27f
[21103.502620] 963:27f
[21103.502625] 951:22f
[21103.502629] 785:17f
[21103.502634] 225:22f
[21103.502639] 1000:22f
[21103.502643] 383:17f
[21103.502648] 627:22f
[21103.502653] 936:27f
[21103.502657] 976:27f
[21103.502662] 911:22f
[21103.502667] 297:17f
[21103.502672] 687:22f
[21103.502676] 953:22f
[21103.502681] 199:17f
[21103.502685] 886:22f
[21103.502690] 519:17f
[21103.502695] 470:22f
[21103.502700] 968:22f
[21103.502704] 745:17f
[21103.502709] 206:22f
[21103.502714] 808:17f
[21103.502719] 255:22f
[21103.502723] 930:27f
[21103.502728] 991:27f
[21103.502733] 964:27f
[21103.502737] 13:22f
[21103.502742] 981:27f
[21103.502747] 935:22f
[21103.502752] 516:17f
[21103.502756] 445:22f
[21103.502761] 1007:27f
[21103.502766] 944:17f
