[18679.599810] 2058:17f
[18679.599815] 1976:17f
[18679.599820] 2183:17f
[18679.599824] 1329:17f
[18679.599829] 2112:17f
[18679.599834] 1498:17f
[18679.599838] 1540:17f
[18679.599843] 2218:17f
[18679.599848] 970:17f
[18679.599853] 1988:17f
[18679.599857] 1989:17f
[18679.599862] 1729:17f
[18679.599867] 2225:17f
[18679.599871] 1651:17f
[18679.599876] 1812:17f
[18679.599881] 1451:17f
[18679.599885] 1029:17f
[18679.599890] 1317:17f
[18679.599895] 1624:17f
[18679.599900] 2009:17f
[18679.599904] 1529:17f
[18679.599909] 1169:17f
[18679.599914] 1992:17f
[18679.599919] 1385:17f
[18679.599923] 1211:17f
[18679.599928] 980:17f
[18679.599933] 1225:17f
[18679.599937] 1365:17f
[18679.599942] 2089:17f
[18679.599947] 1609:17f
[18679.599952] 1330:17f
[18679.599956] 1270:17f
[18679.599961] 1610:17f
[18679.599966] 2083:17f
[18679.599971] 1194:17f
[18679.599975] 1918:17f
[18679.599980] 1548:17f
[18679.599985] 1241:17f
[18679.599989] 2055:17f
[18679.599994] 859:18f
[18679.599999] 1608:17f
[18679.600003] 968:17f
[18679.600008] 1055:17f
[18679.600013] 1207:17f
[18679.600018] 1113:17f
[18679.600022] 973:17f
[18679.600027] 963:17f
[18679.600032] 1241:17f
[18679.600036] 1130:17f
[18679.600041] 1025:17f
[18679.600046] 1210:17f
[18679.600051] 1048:17f
[18679.600055] 1130:17f
[18679.600060] 1123:17f
[18679.600065] 1094:17f
[18679.600070] 1003:17f
[18679.600074] 964:17f
[18679.600079] 1134:17f
[18679.600084] 965:17f
[18679.600088] 957:17f
[18679.600093] 1026:17f
[18679.600098] 1147:17f
[18679.600102] 1202:17f
[18679.600107] 1018:17f
[18679.600112] 1234:17f
[18679.600117] 971:17f
[18679.600121] 1008:17f
[18679.600126] 1190:17f
[18679.600131] 993:17f
[18679.600135] 1063:17f
[18679.600140] 1074:17f
[18679.600145] 974:17f
[18679.600150] 1231:17f
[18679.600155] 969:17f
[18679.600159] 1347:17f
[18679.600164] 969:17f
[18679.600169] 1190:17f
[18679.600173] 1170:17f
[18679.600178] 1110:17f
[18679.600183] 1008:17f
[18679.600187] 1110:17f
[18679.600192] 1169:17f
[18679.600197] 1079:17f
[18679.600202] 1172:17f
[18679.600206] 1004:17f
[18679.600211] 972:17f
[18679.600216] 1212:17f
[18679.600221] 1064:17f
[18679.600225] 969:17f
[18679.600230] 1111:17f
[18679.600235] 1230:17f
[18679.600239] 997:17f
[18679.600244] 1032:17f
[18679.600249] 1130:17f
[18679.600254] 1008:17f
[18679.600258] 1004:17f
[18679.600263] 1074:17f
[18679.600268] 984:17f
[18679.600273] 1150:17f
[18679.600277] 1010:17f
[18679.600282] 971:17f
[18679.600287] 1209:17f
[18679.600291] 1049:17f
[18679.600296] 1046:17f
[18679.600301] 1110:17f
[18679.600306] 1071:17f
[18679.600310] 1038:17f
[18679.600315] 1219:17f
[18679.600320] 1057:17f
[18679.600324] 1217:17f
[18679.600329] 975:17f
[18679.600334] 1178:17f
[18679.600339] 1021:17f
[18679.600343] 1109:17f
[18679.600348] 1194:17f
[18679.600353] 1107:17f
[18679.600358] 1209:17f
[18679.600362] 1058:17f
[18679.600367] 1155:17f
[18679.600372] 1128:17f
[18679.600376] 999:17f
[18679.600381] 1232:17f
[18679.600386] 983:17f
[18679.600390] 975:17f
[18679.600395] 1011:17f
[18679.600400] 1229:17f
[18679.600405] 1050:17f
[18679.600409] 1136:17f
[18679.600414] 1062:17f
[18679.600419] 1047:17f
[18679.600424] 1132:17f
[18679.600428] 690:18f
[18679.600433] 1487:17f
[18679.600438] 966:17f
[18679.600442] 1672:17f
[18679.600447] 1173:17f
[18679.600452] 2028:17f
[18679.600457] 1775:17f
[18679.600461] 1462:17f
[18679.600466] 1651:17f
[18679.600471] 1290:17f
[18679.600476] 1627:17f
[18679.600480] 2120:17f
[18679.600485] 1399:17f
[18679.600490] 1915:17f
[18679.600494] 1594:17f
[18679.600499] 1198:17f
[18679.600504] 1710:17f
[18679.600509] 2071:17f
[18679.600513] 2196:17f
[18679.600518] 1803:17f
[18679.600523] 1369:17f
[18679.600527] 971:17f
[18679.600532] 1267:17f
[18679.600537] 2130:17f
[18679.600541] 1962:17f
[18679.600546] 1163:17f
[18679.600551] 1390:17f
[18679.600556] 1434:17f
[18679.600560] 1920:17f
[18679.600565] 2158:17f
[18679.600570] 1461:17f
[18679.600575] 2078:17f
[18679.600579] 2162:17f
[18679.600584] 1547:17f
[18679.600589] 1029:17f
[18679.600593] 1630:17f
[18679.600598] 2055:17f
[18679.600603] 1016:17f
[18679.600608] 1077:17f
[18679.600612] 1789:17f
[18679.600617] 1233:17f
[18679.600622] 971:17f
[18679.600626] 1330:17f
[18679.600631] 1509:17f
[18679.600636] 1589:17f
[18679.600640] 1310:17f
[18679.600645] 1627:17f
[18679.600650] 1460:17f
[18679.600655] 1778:17f
[18679.600659] 1542:17f
[18679.600664] 1379:17f
[18679.600669] 965:17f
[18679.600674] 2015:17f
[18679.600678] 1628:17f
[18679.600683] 1628:17f
[18679.600688] 1500:17f
[18679.600692] 1707:17f
[18679.600697] 1160:17f
[18679.600702] 1473:17f
[18679.600707] 1654:17f
[18679.600711] 1786:17f
[18679.600716] 2210:17f
[18679.600721] 1528:17f
[18679.600726] 1497:17f
[18679.600730] 742:18f
[18679.600735] 1542:17f
[18679.600740] 968:17f
[18679.600744] 1179:17f
[18679.600749] 970:17f
[18679.600754] 1143:17f
[18679.600759] 982:17f
[18679.600763] 1072:17f
[18679.600768] 1104:17f
[18679.600773] 1177:17f
[18679.600778] 1215:17f
[18679.600782] 1036:17f
[18679.600787] 1173:17f
[18679.600792] 978:17f
[18679.600796] 1115:17f
[18679.600801] 966:17f
[18679.600806] 1071:17f
[18679.600810] 971:17f
[18679.600815] 1113:17f
[18679.600820] 1124:17f
[18679.600825] 1070:17f
[18679.600829] 1073:17f
[18679.600834] 974:17f
[18679.600839] 1069:17f
[18679.600843] 1143:17f
[18679.600848] 992:17f
[18679.600853] 1139:17f
[18679.600858] 1061:17f
[18679.600862] 1106:17f
[18679.600867] 1139:17f
[18679.600872] 974:17f
[18679.600877] 1067:17f
[18679.600881] 1103:17f
[18679.600886] 1229:17f
[18679.600891] 1138:17f
[18679.600895] 1209:17f
[18679.600900] 1092:17f
[18679.600905] 972:17f
[18679.600910] 1152:17f
[18679.600914] 1128:17f
[18679.600919] 1116:17f
[18679.600924] 1019:17f
[18679.600928] 1271:17f
[18679.600933] 974:17f
[18679.600938] 1156:17f
[18679.600942] 1146:17f
[18679.600947] 1045:17f
[18679.600952] 1113:17f
[18679.600957] 960:17f
[18679.600961] 1080:17f
[18679.600966] 1170:17f
[18679.600971] 1120:17f
[18679.600976] 979:17f
[18679.600980] 961:17f
[18679.600985] 997:17f
[18679.600990] 973:17f
[18679.600994] 1005:17f
[18679.600999] 1214:17f
[18679.601004] 1015:17f
[18679.601009] 1008:17f
[18679.601013] 1093:17f
[18679.601018] 1066:17f
[18679.601023] 1218:17f
[18679.601028] 978:17f
[18679.601032] 988:17f
[18679.601037] 1050:17f
[18679.601042] 1228:17f
[18679.601046] 1004:17f
[18679.601051] 1135:17f
[18679.601056] 966:17f
[18679.601061] 1122:17f
[18679.601065] 1067:17f
[18679.601070] 1082:17f
[18679.601075] 1133:17f
[18679.601079] 1090:17f
[18679.601084] 1127:17f
[18679.601089] 988:17f
[18679.601093] 1153:17f
[18679.601098] 1004:17f
[18679.601103] 995:17f
[18679.601108] 1050:17f
[18679.601112] 1049:17f
[18679.601117] 1167:17f
[18679.601122] 1110:17f
[18679.601127] 1110:17f
[18679.601131] 1365:17f
[18679.601136] 979:17f
[18679.601141] 1021:17f
[18679.601145] 980:17f
[18679.601150] 1214:17f
[18679.601155] 974:17f
[18679.601159] 991:17f
[18679.601164] 1232:17f
[18679.601169] 177:18f
[18679.601174] 1618:17f
[18679.601179] 963:17f
[18679.601183] 6014:17f
[18679.601188] 2815:17f
[18679.601193] 2202:17f
[18679.601197] 2931:17f
[18679.601202] 5228:17f
[18679.601207] 4731:17f
[18679.601212] 1389:17f
[18679.601216] 1570:17f
[18679.601221] 3117:17f
[18679.601226] 4280:17f
[18679.601230] 1367:17f
[18679.601235] 2118:17f
[18679.601240] 3686:17f
[18679.601244] 5476:17f
[18679.601249] 3964:17f
[18679.601254] 2456:17f
[18679.601259] 2938:17f
[18679.601263] 4334:17f
[18679.601268] 1502:17f
[18679.601273] 1432:17f
[18679.601278] 3014:17f
[18679.601282] 2136:17f
[18679.601287] 2464:17f
[18679.601292] 3988:17f
[18679.601296] 5352:17f
[18679.601301] 3384:17f
[18679.601306] 1671:17f
[18679.601310] 3192:17f
[18679.601315] 2955:17f
[18679.601320] 4065:17f
[18679.601325] 1631:18f
[18679.601329] 1637:17f
[18679.601334] 1731:17f
[18679.601339] 1002:17f
[18679.601343] 944:17f
[18679.601348] 990:17f
[18679.601353] 964:17f
[18679.601358] 1074:17f
[18679.601362] 999:17f
