[11657.709538] 432:22f
[11657.709543] 555:17f
[11657.709547] 433:22f
[11657.709552] 542:17f
[11657.709556] 422:22f
[11657.709561] 532:17f
[11657.709566] 463:22f
[11657.709571] 505:17f
[11657.709575] 460:22f
[11657.709580] 524:17f
[11657.709585] 468:22f
[11657.709590] 496:17f
[11657.709594] 470:22f
[11657.709599] 525:17f
[11657.709604] 423:22f
[11657.709608] 537:17f
[11657.709613] 454:22f
[11657.709618] 522:17f
[11657.709622] 422:22f
[11657.709627] 530:17f
[11657.709632] 444:22f
[11657.709636] 521:17f
[11657.709641] 424:22f
[11657.709646] 548:17f
[11657.709651] 524:22f
[11657.709655] 581:17f
[11657.709660] 373:22f
[11657.709665] 603:17f
[11657.709670] 364:22f
[11657.709674] 693:17f
[11657.709679] 255:22f
[11657.709684] 714:17f
[11657.709688] 277:22f
[11657.709693] 694:17f
[11657.709698] 337:22f
[11657.709702] 623:17f
[11657.709707] 348:22f
[11657.709712] 651:17f
[11657.709716] 395:22f
[11657.709721] 599:17f
[11657.709726] 368:22f
[11657.709731] 617:17f
[11657.709735] 442:22f
[11657.709740] 526:17f
[11657.709745] 443:22f
[11657.709749] 741:17f
[11657.709754] 325:22f
[11657.709759] 643:17f
[11657.709764] 323:22f
[11657.709768] 652:17f
[11657.709773] 315:22f
[11657.709778] 651:17f
[11657.709782] 315:22f
[11657.709787] 667:17f
[11657.709792] 309:22f
[11657.709796] 667:17f
[11657.709801] 299:22f
[11657.709806] 684:17f
[11657.709810] 289:22f
[11657.709815] 677:17f
[11657.709820] 296:22f
[11657.709825] 678:17f
[11657.709829] 330:22f
[11657.709834] 727:17f
[11657.709839] 244:22f
[11657.709844] 716:17f
[11657.709848] 262:22f
[11657.709853] 705:17f
[11657.709858] 284:22f
[11657.709862] 675:17f
[11657.709867] 294:22f
[11657.709872] 674:17f
[11657.709877] 297:22f
[11657.709881] 660:17f
[11657.709886] 303:22f
[11657.709891] 699:17f
[11657.709895] 284:22f
[11657.709900] 704:17f
[11657.709905] 254:22f
[11657.709909] 708:17f
[11657.709914] 290:22f
[11657.709919] 678:17f
[11657.709924] 281:22f
[11657.709928] 682:17f
[11657.709933] 294:22f
[11657.709938] 681:17f
[11657.709942] 295:22f
[11657.709947] 687:17f
[11657.709952] 275:22f
[11657.709957] 725:17f
[11657.709961] 244:22f
[11657.709966] 728:17f
[11657.709971] 265:22f
[11657.709975] 711:17f
[11657.709980] 255:22f
[11657.709985] 782:17f
[11657.709990] 190:22f
[11657.709994] 776:17f
[11657.709999] 185:22f
[11657.710004] 783:17f
[11657.710008] 195:22f
[11657.710013] 496:18f
[11657.710018] 1498:22f
[11657.710023] 5:17f
[11657.710027] 122:27f
[11657.710032] 969:27f
[11657.710036] 956:27f
[11657.710041] 974:27f
[11657.710046] 951:27f
[11657.710051] 1010:27f
[11657.710055] 1034:17f
[11657.710060] 976:22f
[11657.710065] 704:17f
[11657.710070] 985:27f
[11657.710074] 966:27f
[11657.710079] 950:27f
[11657.710084] 997:27f
[11657.710088] 1122:27f
[11657.710093] 968:27f
[11657.710098] 944:17f
[11657.710103] 720:22f
[11657.710107] 777:17f
[11657.710112] 619:22f
[11657.710117] 1035:17f
[11657.710121] 813:27f
[11657.710126] 965:27f
[11657.710131] 965:27f
[11657.710135] 967:27f
[11657.710140] 1004:27f
[11657.710145] 1014:27f
[11657.710150] 1014:27f
[11657.710155] 958:27f
[11657.710159] 961:27f
[11657.710164] 950:27f
[11657.710169] 988:27f
[11657.710173] 921:17f
[11657.710178] 930:22f
[11657.710183] 1112:27f
[11657.710188] 1009:27f
[11657.710192] 954:27f
[11657.710197] 59:17f
[11657.710202] 925:27f
[11657.710206] 953:17f
[11657.710211] 1059:27f
[11657.710216] 1362:27f
[11657.710221] 949:17f
[11657.710225] 679:22f
[11657.710230] 1055:27f
[11657.710235] 950:27f
[11657.710240] 977:27f
[11657.710244] 1010:27f
[11657.710249] 988:27f
[11657.710254] 949:27f
[11657.710259] 967:27f
[11657.710263] 949:17f
[11657.710268] 864:22f
[11657.710273] 753:17f
[11657.710277] 927:27f
[11657.710282] 980:27f
[11657.710287] 1058:27f
[11657.710292] 965:27f
[11657.710296] 962:27f
[11657.710301] 962:27f
[11657.710306] 1001:27f
[11657.710310] 996:27f
[11657.710315] 1010:27f
[11657.710320] 1011:17f
[11657.710325] 1002:27f
[11657.710329] 932:17f
[11657.710334] 1019:27f
[11657.710339] 976:27f
[11657.710343] 975:27f
[11657.710348] 986:27f
[11657.710353] 985:27f
[11657.710358] 966:27f
[11657.710362] 1019:17f
[11657.710367] 417:22f
[11657.710372] 899:17f
[11657.710376] 988:27f
[11657.710381] 958:27f
[11657.710386] 1010:27f
[11657.710391] 951:27f
[11657.710395] 965:27f
[11657.710400] 966:27f
[11657.710405] 967:27f
[11657.710410] 1098:27f
[11657.710414] 966:27f
[11657.710419] 945:27f
[11657.710424] 1183:17f
[11657.710428] 1371:17f
[11657.710433] 874:27f
[11657.710438] 944:27f
[11657.710443] 1014:27f
[11657.710447] 962:27f
[11657.710452] 1139:27f
[11657.710457] 1030:27f
[11657.710462] 989:27f
[11657.710466] 957:27f
[11657.710471] 924:17f
[11657.710476] 56:22f
[11657.710481] 1228:17f
[11657.710485] 972:27f
[11657.710490] 966:27f
[11657.710495] 1027:27f
[11657.710500] 894:17f
[11657.710504] 960:27f
[11657.710509] 1022:27f
[11657.710514] 947:27f
[11657.710518] 378:18f
[11657.710523] 1320:27f
[11657.710528] 1154:17f
[11657.710533] 1061:17f
[11657.710537] 209:22f
[11657.710542] 808:17f
[11657.710547] 241:22f
[11657.710552] 707:17f
[11657.710556] 239:22f
[11657.710561] 788:17f
[11657.710566] 285:22f
[11657.710570] 689:17f
[11657.710575] 255:22f
[11657.710580] 832:17f
[11657.710585] 140:22f
[11657.710589] 866:17f
[11657.710594] 81:22f
[11657.710599] 953:17f
[11657.710603] 41:22f
[11657.710608] 983:17f
[11657.710613] 41:22f
[11657.710617] 954:17f
[11657.710622] 100:22f
[11657.710627] 874:17f
[11657.710631] 96:22f
[11657.710636] 977:17f
[11657.710641] 51:22f
[11657.710645] 950:22f
[11657.710650] 38:17f
[11657.710655] 929:22f
[11657.710660] 36:17f
[11657.710664] 1029:22f
[11657.710669] 103:17f
[11657.710674] 861:22f
[11657.710679] 105:17f
[11657.710683] 920:22f
[11657.710688] 118:17f
[11657.710693] 954:22f
[11657.710697] 28:17f
[11657.710702] 957:17f
[11657.710707] 65:22f
[11657.710711] 897:17f
[11657.710716] 105:22f
[11657.710721] 872:17f
[11657.710726] 192:22f
[11657.710730] 815:17f
[11657.710735] 151:22f
[11657.710740] 914:17f
[11657.710744] 129:22f
[11657.710749] 911:17f
[11657.710754] 63:22f
[11657.710759] 964:22f
[11657.710763] 26:17f
[11657.710768] 960:17f
[11657.710772] 70:22f
[11657.710777] 895:17f
[11657.710782] 86:22f
[11657.710786] 949:17f
[11657.710791] 38:22f
[11657.710796] 965:22f
[11657.710800] 21:17f
[11657.710805] 959:22f
[11657.710810] 5:17f
[11657.710814] 966:22f
[11657.710819] 62:17f
[11657.710824] 977:17f
[11657.710828] 1:22f
[11657.710833] 1025:17f
[11657.710838] 2:22f
[11657.710842] 988:22f
[11657.710847] 35:17f
[11657.710852] 965:17f
[11657.710857] 16:22f
[11657.710861] 969:22f
[11657.710866] 60:17f
[11657.710870] 964:17f
[11657.710875] 27:22f
[11657.710880] 993:27f
[11657.710885] 955:17f
[11657.710889] 26:22f
[11657.710894] 1015:27f
[11657.710899] 894:22f
[11657.710903] 18:17f
[11657.710908] 961:22f
[11657.710913] 104:17f
[11657.710918] 944:22f
[11657.710923] 9:17f
[11657.710928] 968:17f
[11657.710933] 102:22f
[11657.710937] 943:17f
[11657.710942] 129:22f
[11657.710947] 885:17f
[11657.710951] 114:22f
[11657.710956] 943:17f
[11657.710961] 93:22f
